111.43.126.240:9003: 80
58.17.48.228:808: 59
112.44.232.224:55080: 48
========================
📺 央视频道,#genre#
湖北卫视,http://58.17.48.228:808/hls/38/index.m3u8
湖北卫视,http://111.43.126.240:9003/hls/54/index.m3u8
湖北卫视,http://112.44.232.224:55080/hls/41/index.m3u8
湖南卫视,http://58.17.48.228:808/hls/31/index.m3u8
湖南卫视,http://111.43.126.240:9003/hls/37/index.m3u8
湖南卫视,http://112.44.232.224:55080/hls/18/index.m3u8
吉林卫视,http://111.43.126.240:9003/hls/45/index.m3u8
江苏卫视,http://58.17.48.228:808/hls/33/index.m3u8
江苏卫视,http://111.43.126.240:9003/hls/38/index.m3u8
江苏卫视,http://112.44.232.224:55080/hls/20/index.m3u8
江西卫视,http://58.17.48.228:808/hls/17/index.m3u8
江西卫视,http://111.43.126.240:9003/hls/49/index.m3u8
江西卫视,http://112.44.232.224:55080/hls/22/index.m3u8
辽宁卫视,http://58.17.48.228:808/hls/41/index.m3u8
辽宁卫视,http://111.43.126.240:9003/hls/57/index.m3u8
辽宁卫视,http://112.44.232.224:55080/hls/35/index.m3u8
内蒙古卫视,http://58.17.48.228:808/hls/58/index.m3u8
内蒙古卫视,http://111.43.126.240:9003/hls/63/index.m3u8
内蒙古卫视,http://112.44.232.224:55080/hls/55/index.m3u8
宁夏卫视,http://58.17.48.228:808/hls/49/index.m3u8
宁夏卫视,http://111.43.126.240:9003/hls/67/index.m3u8
宁夏卫视,http://112.44.232.224:55080/hls/46/index.m3u8
青海卫视,http://58.17.48.228:808/hls/57/index.m3u8
青海卫视,http://111.43.126.240:9003/hls/59/index.m3u8
青海卫视,http://112.44.232.224:55080/hls/42/index.m3u8
山东卫视,http://58.17.48.228:808/hls/42/index.m3u8
山东卫视,http://112.44.232.224:55080/hls/43/index.m3u8
山西卫视,http://58.17.48.228:808/hls/55/index.m3u8
山西卫视,http://111.43.126.240:9003/hls/61/index.m3u8
山西卫视,http://112.44.232.224:55080/hls/38/index.m3u8
陕西卫视,http://58.17.48.228:808/hls/62/index.m3u8
陕西卫视,http://111.43.126.240:9003/hls/68/index.m3u8
陕西卫视,http://112.44.232.224:55080/hls/39/index.m3u8
东方卫视,http://112.44.232.224:55080/hls/24/index.m3u8
深圳卫视,http://58.17.48.228:808/hls/37/index.m3u8
深圳卫视,http://111.43.126.240:9003/hls/51/index.m3u8
四川卫视,http://58.17.48.228:808/hls/54/index.m3u8
四川卫视,http://112.44.232.224:55080/hls/21/index.m3u8
天津卫视,http://58.17.48.228:808/hls/39/index.m3u8
天津卫视,http://111.43.126.240:9003/hls/46/index.m3u8
天津卫视,http://112.44.232.224:55080/hls/34/index.m3u8
西藏卫视,http://58.17.48.228:808/hls/47/index.m3u8
西藏卫视,http://111.43.126.240:9003/hls/58/index.m3u8
新疆卫视,http://58.17.48.228:808/hls/59/index.m3u8
新疆卫视,http://111.43.126.240:9003/hls/64/index.m3u8
延边卫视,http://111.43.126.240:9003/hls/65/index.m3u8
云南卫视,http://58.17.48.228:808/hls/45/index.m3u8
云南卫视,http://111.43.126.240:9003/hls/60/index.m3u8
浙江卫视,http://58.17.48.228:808/hls/32/index.m3u8
浙江卫视,http://111.43.126.240:9003/hls/40/index.m3u8
浙江卫视,http://112.44.232.224:55080/hls/19/index.m3u8
重庆卫视,http://58.17.48.228:808/hls/51/index.m3u8

🏀 体育频道,#genre#
CCTV-5,http://112.44.232.224:55080/hls/5/index.m3u8
CCTV-5+,http://111.43.126.240:9003/hls/18/index.m3u8
超级体育,http://111.43.126.240:9003/hls/86/index.m3u8
晴彩竞技,http://111.43.126.240:9003/hls/104/index.m3u8
晴彩篮球,http://111.43.126.240:9003/hls/103/index.m3u8

🎭 综艺频道,#genre#
超级综艺,http://111.43.126.240:9003/hls/87/index.m3u8
金牌综艺,http://111.43.126.240:9003/hls/90/index.m3u8

🏛 电视剧场,#genre#
超级电视剧,http://111.43.126.240:9003/hls/84/index.m3u8
东北热剧,http://111.43.126.240:9003/hls/78/index.m3u8
欢乐剧场,http://111.43.126.240:9003/hls/79/index.m3u8
家庭剧场,http://111.43.126.240:9003/hls/83/index.m3u8
军旅剧场,http://111.43.126.240:9003/hls/82/index.m3u8

🎬 电影频道,#genre#
HRB影视,http://111.43.126.240:9003/hls/5/index.m3u8
爱情喜剧,http://111.43.126.240:9003/hls/76/index.m3u8
超级电影,http://111.43.126.240:9003/hls/85/index.m3u8
动作电影,http://58.17.48.228:808/hls/30/index.m3u8
动作电影,http://111.43.126.240:9003/hls/75/index.m3u8
古装剧场,http://111.43.126.240:9003/hls/81/index.m3u8
黑龙江影视,http://111.43.126.240:9003/hls/7/index.m3u8
黑莓电影,http://111.43.126.240:9003/hls/99/index.m3u8
家庭影院,http://58.17.48.228:808/hls/29/index.m3u8
惊悚悬疑,http://111.43.126.240:9003/hls/77/index.m3u8
精品大剧,http://111.43.126.240:9003/hls/80/index.m3u8
精品纪录,http://111.43.126.240:9003/hls/88/index.m3u8
影迷电影,http://58.17.48.228:808/hls/28/index.m3u8
中国功夫,http://111.43.126.240:9003/hls/96/index.m3u8

🎮 动画频道,#genre#
黑莓动画,http://111.43.126.240:9003/hls/100/index.m3u8
北京少儿,http://111.43.126.240:9003/hls/71/index.m3u8
北京少儿,http://112.44.232.224:55080/hls/57/index.m3u8
哈哈炫动,http://111.43.126.240:9003/hls/72/index.m3u8
金鹰卡通,http://58.17.48.228:808/hls/64/index.m3u8
金鹰卡通,http://111.43.126.240:9003/hls/73/index.m3u8
金鹰卡通,http://112.44.232.224:55080/hls/56/index.m3u8
优漫卡通,http://58.17.48.228:808/hls/67/index.m3u8
优漫卡通,http://111.43.126.240:9003/hls/74/index.m3u8
优漫卡通,http://112.44.232.224:55080/hls/60/index.m3u8
