📺央视频道,#genre#
江苏卫视,http://58.17.48.228:808/hls/33/index.m3u8
江苏卫视,http://111.43.126.240:9003/hls/38/index.m3u8
江西卫视,http://58.17.48.228:808/hls/17/index.m3u8
江西卫视,http://111.43.126.240:9003/hls/49/index.m3u8
吉林卫视,http://111.43.126.240:9003/hls/45/index.m3u8
辽宁卫视,http://111.43.126.240:9003/hls/57/index.m3u8
辽宁卫视,http://58.17.48.228:808/hls/41/index.m3u8
内蒙古卫视,http://111.43.126.240:9003/hls/63/index.m3u8
内蒙古卫视,http://58.17.48.228:808/hls/58/index.m3u8
宁夏卫视,http://58.17.48.228:808/hls/49/index.m3u8
青海卫视,http://58.17.48.228:808/hls/57/index.m3u8
青海卫视,http://111.43.126.240:9003/hls/59/index.m3u8
山东卫视,http://58.17.48.228:808/hls/42/index.m3u8
山东卫视,http://111.43.126.240:9003/hls/48/index.m3u8
山西卫视,http://58.17.48.228:808/hls/55/index.m3u8
山西卫视,http://111.43.126.240:9003/hls/61/index.m3u8
陕西卫视,http://58.17.48.228:808/hls/62/index.m3u8
深圳卫视,http://58.17.48.228:808/hls/37/index.m3u8
四川卫视,http://58.17.48.228:808/hls/54/index.m3u8
四川卫视,http://111.43.126.240:9003/hls/50/index.m3u8
天津卫视,http://111.43.126.240:9003/hls/46/index.m3u8
天津卫视,http://58.17.48.228:808/hls/39/index.m3u8
新疆卫视,http://58.17.48.228:808/hls/59/index.m3u8
新疆卫视,http://111.43.126.240:9003/hls/64/index.m3u8
西藏卫视,http://58.17.48.228:808/hls/47/index.m3u8
西藏卫视,http://111.43.126.240:9003/hls/58/index.m3u8
延边卫视,http://111.43.126.240:9003/hls/65/index.m3u8
云南卫视,http://58.17.48.228:808/hls/45/index.m3u8
云南卫视,http://111.43.126.240:9003/hls/60/index.m3u8
浙江卫视,http://111.43.126.240:9003/hls/40/index.m3u8
浙江卫视,http://58.17.48.228:808/hls/32/index.m3u8

⚽体育频道,#genre#
超级体育,http://111.43.126.240:9003/hls/86/index.m3u8
哒吱赛事,http://111.43.126.240:9003/hls/101/index.m3u8
晴彩竞技,http://111.43.126.240:9003/hls/104/index.m3u8
晴彩篮球,http://111.43.126.240:9003/hls/103/index.m3u8
赛事直播,http://111.43.126.240:9003/hls/95/index.m3u8
体育球赛,http://111.43.126.240:9003/hls/89/index.m3u8

🎤综艺频道,#genre#
超级综艺,http://111.43.126.240:9003/hls/87/index.m3u8
金牌综艺,http://111.43.126.240:9003/hls/90/index.m3u8
炫舞未来,http://111.43.126.240:9003/hls/102/index.m3u8

🎬电影频道,#genre#
CHC动作电影,http://58.17.48.228:808/hls/30/index.m3u8
CHC动作电影,http://111.43.126.240:9003/hls/75/index.m3u8
CHC家庭影院,http://58.17.48.228:808/hls/29/index.m3u8
CHC影迷电影,http://58.17.48.228:808/hls/28/index.m3u8
爱情喜剧,http://111.43.126.240:9003/hls/76/index.m3u8
北京影视,http://111.43.126.240:9003/hls/5/index.m3u8
潮妈辣婆,http://111.43.126.240:9003/hls/94/index.m3u8
